pais;casos;casos1000;total_deaths;deaths_100k;popData2019
Belgium;608001;15,16426898;17951;0,447719317;4009431650
San_Marino;1947;16,19248414;51;0,424148275;12024097
Peru;984973;10,74365556;36677;0,400056707;9167950284
Andorra;7338;34,90155365;79;0,375745808;21024852
Bosnia_and_Herzegovina;101117;11,05857445;3336;0,364838794;914376446
Montenegro;41426;24,47860443;582;0,343903533;169233504
Argentina;1498160;11,82173246;40766;0,321677755;12672931025
Italy;1843712;8,727283289;64520;0,305407958;21125841100
North_Macedonia;73638;10,39641265;2121;0,299448535;708302012
Chile;571919;10,58848474;15886;0,294112748;5401329975
Spain;1730575;10,56450409;47624;0,290726459;16381033940
Bulgaria;179449;9,155510215;5688;0,290202465;1960010920
Bolivia;147150;4,614112138;9018;0,282773111;3189129254
Panama;193007;16,23267288;3356;0,282253235;1189003200
Colombia;1425774;10,15168379;39053;0,278062096;14044704597
United_Kingdom;1849403;7,928338397;64170;0,275094977;23326489200
Guam;7106;15,67375129;118;0,260273382;45336945
United_States_of_America;16256754;14,11510804;299177;0,259763768;1,15173E+11
Czechia;581079;15,5892666;9609;0,257791561;3727430000
Hungary;283870;10,22784416;7130;0,256894102;2775462704
Mexico;1250044;2,799560632;113953;0,255205683;44651435150
Armenia;148682;14,74163937;2503;0,248169404;1008585248
France;2376852;10,13388085;57911;0,246907748;23454509050
Slovenia;96314;16,29739531;1459;0,246878956;590977872
Brazil;6901952;9,343713717;181402;0,245578114;73867331650
Kosovo;46580;9,383794991;1198;0,241343632;496387656
Sint_Maarten;1232;11,00914545;26;0,232335862;11190696
Ecuador;202110;3,371921565;13875;0,231484893;5993911665
Moldova;126518;11,1753937;2572;0,227185955;1132112240
Poland;1135676;10,53084811;22864;0,212012327;10784278608
Sweden;320098;8,939874638;7514;0,209855163;3580564750
Romania;556335;8,234398267;13385;0,198113404;6756231384
Portugal;348744;11,82427922;5559;0,188479711;2949389079
Luxembourg;41272;19,60053863;396;0,18806487;210565642
Belize;9295;8,951843091;195;0,187800904;103833366
Croatia;175886;12,43487465;2640;0,186644014;1414457362
Iran;1108269;3,819001548;52196;0,179863016;29019862550
Switzerland;372329;12,45004133;5378;0,179831069;2990584450
Liechtenstein;1514;14,13967194;18;0,168107064;10707462
Netherlands;612746;10,13011425;10034;0,16588532;6048757050
Puerto_Rico;107158;13,94284592;1272;0,165506075;768551848
Aruba;5049;17,78770799;46;0,162058738;28384770
Bahamas;7674;7,243709734;163;0,153860397;105940192
Austria;320036;10,32183989;4400;0,141909334;3100571250
South_Africa;860964;5,213719576;23276;0,140951929;16513431294
Costa_Rica;150947;10,60458803;1895;0,133130796;1423412202
Georgia;191063;13,7764979;1839;0,132600135;1386876414
Ukraine;900666;7,417623061;15247;0,125569855;12142245468
Albania;48530;6,033503259;1003;0,124698203;804341987
Ireland;76185;4,463941687;2124;0,124452479;1706675520
Jordan;259614;9,277992173;3365;0,120257165;2798170069
French_Polynesia;15618;20,63519212;91;0,120233223;75686235
Serbia;266432;13,66420311;2331;0,119547417;1949853920
Malta;11101;7,947610804;166;0,118845455;139677197
Tunisia;111361;3,388729762;3894;0,118494928;3286216601
Honduras;114359;4,251378143;2975;0,110597766;2689927740
Jersey;1779;6,11236863;32;0,109947047;29104920
Isle_of_Man;370;1,626056206;25;0,109868663;22754441
Canada;460743;3,518770507;13431;0,102574769;13093863300
Israel;357859;12,10527991;2999;0,101447035;2956222431
Paraguay;93582;4,778469121;1953;0,099723774;1958409642
Greece;124534;3,336780441;3625;0,097128729;3732160452
Iraq;574634;4,20060033;12579;0,091953055;13679806572
Russia;2653928;5,19814489;46941;0,091941499;51055291000
Guatemala;129282;2,673930014;4423;0,091480581;4834905900
Lithuania;95021;9,972641707;825;0,08658538;952816744
Oman;126240;7,37642883;1471;0,085953159;1711397248
United_States_Virgin_Islands;1807;6,520303239;23;0,082992238;27713435
Palestine;124657;8,905473519;1079;0,077083565;1399779582
Slovakia;132984;8,652074181;1175;0,076446694;1537018722
Germany;1337078;4,601612951;21975;0,075627932;29056724550
Kyrgyzstan;77674;4,467371923;1312;0,075458866;1738695621
Montserrat;13;0,971898671;1;0,074761436;1337588
Guernsey;289;1,660312667;13;0,074685345;17406360
Suriname;5353;3,410249006;117;0,074537481;156968010
Cape_Verde;11357;7,677135313;110;0,074358095;147932784
Libya;90779;5,054439539;1299;0,072326386;1796025045
Guyana;5920;2,75012267;155;0,072004901;215263125
Turkey;995471;4,398302736;16199;0,071572257;22633071432
El_Salvador;41880;2,394631565;1205;0,068899977;1748912050
Morocco;399609;3,913095406;6624;0,064864265;10212094480
Dominican_Republic;154692;4,224267112;2361;0,064473241;3661984337
Latvia;25675;4,725306965;349;0,064231047;543350944
Total general;71503614;2,823889174;1612833;0,063695545;2,5321E+12
Kuwait;146218;10,01592131;911;0,062403427;1459855719
Saudi_Arabia;359888;3,697886383;6048;0,062143825;9732262236
Bahrain;89143;15,56359199;348;0,060757771;572766236
Turks_and_Caicos_islands;769;7,597755649;6;0,059280278;10121410
Azerbaijan;175874;5,103170049;1922;0,055768862;3446367617
Gibraltar;1075;11,81238201;5;0,054941312;9100620
Bermuda;431;2,553747194;9;0,053326508;16877160
Lebanon;146520;6,176869644;1200;0,050588613;2372075314
Kazakhstan;186277;3,651314115;2552;0,050023103;5101642700
Denmark;109758;5,401135219;941;0,04630613;2032128350
Bonaire, Saint Eustatius and Saba;173;2,590739141;3;0,044926112;6677631
Eswatini;6768;2,143559073;127;0,040223405;315736575
Belarus;160295;4,958511956;1263;0,03906922;3232723878
Jamaica;11710;1,433866907;273;0,033428323;816672729
Estonia;18055;3,950222169;149;0,032599452;457062900
Maldives;13368;8,991850026;48;0,032286715;148667960
Cyprus;15101;6,201644697;78;0,032032864;243499922
Sao_Tome_and_Principe;1009;1,876790298;17;0,031620847;53762000
Trinidad_and_Tobago;6879;1,780249957;122;0,031572975;386406413
India;9884100;2,072660672;143355;0,030061034;4,7688E+11
Curaçao;3624;8,336684647;11;0,025304506;43470518
Qatar;140961;14,3852938;240;0,024492381;979896566
Finland;30810;1,61376495;453;0,023727216;1909199974
Philippines;449400;1,201336026;8733;0,023345055;37408351212
Namibia;16536;2,410516359;160;0,023323816;685994100
Djibouti;5728;2,171062543;61;0,023120603;263833947
Equatorial_Guinea;5185;1,390471662;85;0,022794617;372895050
Iceland;5557;4,447491073;28;0,022409529;124946850
Norway;40022;2,146096503;387;0,02075207;1864874200
Indonesia;617820;0,665578094;18819;0,020273727;92824569481
Egypt;121575;0,35001451;6920;0,019922685;34734274296
Gambia;3782;0,592257761;123;0,019261688;638573312
United_Arab_Emirates;184949;5,502697008;617;0,018357299;3361060944
Monaco;668;5,973496633;2;0,01788472;11182730
Mauritania;10780;0,866164733;222;0,01783753;1244566950
Nepal;248423;2,576698175;1698;0,017612031;9641136955
Algeria;92102;0,620077542;2596;0,017477593;14853303630
Bangladesh;490533;1,094019155;7052;0,015727837;44837697575
Myanmar;108342;0,750804168;2268;0,015717117;14430127674
Antigua_and_Barbuda;148;0,564432012;4;0,015254919;26221050
Afghanistan;49273;0,380951354;1971;0,015238673;12934197380
Northern_Mariana_Islands;113;0,76257745;2;0,013496946;14818167
British_Virgin_Islands;76;0,962186209;1;0,012660345;7898679
Venezuela;107177;1,371718614;949;0,012145899;7813337146
Pakistan;440787;0,589957568;8832;0,011820914;74715034365
Cayman_Islands;298;1,69936519;2;0,011405136;17535960
Sudan;21386;0,180984931;1347;0,011399359;11816453412
Syria;9166;0,201109095;518;0,011365319;4557725244
Kenya;91892;0,633283064;1587;0,010936972;14510414892
Gabon;9330;1,555955543;63;0,010506452;599631528
Australia;28031;0,317771439;908;0,010293477;8821120000
Lesotho;2250;0,494715191;44;0,00967443;454807138
Uruguay;9708;1,019773581;92;0,009664109;951976025
Nicaragua;5887;0,331880487;162;0,009132774;1773831313
Barbados;292;0,374024692;7;0,008966345;78069712
Guinea_Bissau;2444;0,483767683;44;0,008709402;505201171
Yemen;2083;0,02868625;606;0,008345592;7261318578
Saint_Lucia;275;0,547060915;4;0,00795725;50268625
Zimbabwe;11246;0,285458117;307;0,007792606;3939632237
Haiti;9565;0,314531452;234;0,007694758;3041031330
Senegal;17075;0,374207095;349;0,007648508;4562981360
Zambia;18274;0,377535446;367;0,007582112;4840340214
Uzbekistan;75094;0,83096253;612;0,006772166;9036989910
Congo;6049;0,410308074;99;0,006715242;1474258096
Botswana;12501;2,103287115;37;0,006225232;594355374
Cameroon;25143;0,350779083;443;0,006180453;7167759199
Liberia;1676;0,124341282;83;0,006157713;1347903102
Ethiopia;116769;0,377481167;1806;0,005838287;30933728652
Japan;179653;0,404613807;2585;0,005821927;44401104650
Central_African_Republic;4936;0,379640021;63;0,004845486;1300179046
Cuba;9423;0,302338227;137;0,004395663;3116708100
Angola;16188;0,189795499;371;0,004349773;8529180132
Tajikistan;12704;0,597780933;88;0,0041408;2125193244
Malawi;6066;0,127197551;187;0,003921191;4768959744
Ghana;53014;0,631470205;327;0,003895023;8395328808
Mali;5814;0,112029207;194;0,003738161;5189718072
Malaysia;83475;0,748622725;415;0,003721814;11150476361
Sierra_Leone;2440;0,12104331;75;0,003720594;2015807406
Comoros;628;0,325132105;7;0,003624084;193152257
Madagascar;17638;0,243123695;258;0,003556294;7254743314
South_Korea;43484;0,242536303;587;0,00327405;17928862350
Togo;3251;0,145736975;66;0,002958671;2230731084
Mauritius;515;0,150228595;10;0,00291706;342810900
Somalia;4579;0,10861229;121;0,002870078;4215913338
Brunei_Darussalam;152;0,125734571;3;0,002481603;120889584
Chad;1770;0,041108698;102;0,002368976;4305658140
Guinea;13420;0,382108371;79;0,002249371;3512092650
South_Sudan;3206;0,114552578;62;0,002215303;2798714842
Sri_Lanka;32790;0,450945213;152;0,002090383;7271393294
Cote_dIvoire;21680;0,305448096;133;0,001873828;7097768904
Uganda;27532;0,232058508;221;0,001862739;11864249316
Nigeria;73175;0,107410225;1197;0,001757021;68126661417
Mozambique;16954;0,209108995;142;0,001751414;8107733481
Rwanda;6659;0,191768942;56;0,001612714;3472407950
New_Zealand;1740;0,106681437;25;0,001532779;1631024142
Democratic_Republic_of_the_Congo;14512;0,060363577;355;0,001476645;24040987336
Singapore;58320;2,870756801;29;0,001427503;2031520050
Benin;3090;0,095911673;44;0,001365733;3221714223
Niger;2258;0,036009409;80;0,001275798;6270583411
Burkina_Faso;4030;0,07159324;71;0,00126132;5629023091
China;92021;0,018337295;4739;0,000944354;5,01824E+11
Fiji;46;0,019143706;2;0,000832335;240287850
Western_Sahara;766;0,564427589;1;0,000736851;135712714
Papua_New_Guinea;725;0,030710241;8;0,000338872;2360776011
Thailand;4237;0,017741711;60;0,00025124;23881574283
United_Republic_of_Tanzania;509;0,003214299;21;0,000132614;15835490853
Vietnam;1397;0,004185656;35;0,000104866;33375889368
Taiwan;740;0,008893313;7;8,41259E-05;8320858350
Burundi;729;0,024505117;1;3,36147E-05;2974888866
Holy_See;26;11,60066927;0;0;224125
Faroe_Islands;528;3,8193704;0;0;13824268
Falkland_Islands_(Malvinas);19;2,209662038;0;0;859860
Seychelles;187;0,69571623;0;0;26878775
Dominica;87;0,453769352;0;0;19172736
Saint_Vincent_and_the_Grenadines;98;0,333132343;0;0;29417738
Anguilla;10;0,255667117;0;0;3911336
Grenada;69;0,230734243;0;0;29904534
Bhutan;438;0,207963439;0;0;210613944
Saint_Kitts_and_Nevis;27;0,193573697;0;0;13948176
Marshall_Islands;4;0,144760904;0;0;2763177
Greenland;19;0,124197618;0;0;15298200
Mongolia;912;0,103202972;0;0;883695484
Eritrea;711;0,075862062;0;0;937227356
New_Caledonia;36;0,047330038;0;0;76061633
Solomon_Islands;17;0,042299858;0;0;40189260
Vanuatu;1;0,009807779;0;0;10195988
Timor_Leste;31;0,008945159;0;0;346556160
Cambodia;359;0,006385729;0;0;5621910822
Laos;41;0,002158002;0;0;1899905840
Wallis_and_Futuna;3;0;0;0;
