pais;pais_iso3;casos;total_deaths;popData2019;casos1000;deaths_100k;prev04_pob100K;prevtx_pob100K
Afghanistan;AFG;49273;1971;12934197380;0,380951354;0,015238673;0,190974355;0,227837871
Albania;ALB;48530;1003;804341987;6,033503259;0,124698203;0,001491903;0,003356781
Algeria;DZA;92102;2596;14853303630;0,620077542;0,017477593;0;0
Andorra;AND;7338;79;21024852;34,90155365;0,375745808;0;0,033293932
Angola;AGO;16188;371;8529180132;0,189795499;0,004349773;0;0
Anguilla;AIA;10;0;3911336;0,255667117;0;0;0
Antigua_and_Barbuda;ATG;148;4;26221050;0,564432012;0,015254919;0;0,00381373
Argentina;ARG;1498160;40766;12672931025;11,82173246;0,321677755;0;0
Armenia;ARM;148682;2503;1008585248;14,74163937;0,248169404;0,004560844;0,241129841
Aruba;ABW;5049;46;28384770;17,78770799;0,162058738;0;0,010569048
Australia;AUS;28031;908;8821120000;0,317771439;0,010293477;0,000260738;0,00539614
Austria;AUT;320036;4400;3100571250;10,32183989;0,141909334;0;0
Azerbaijan;AZE;175874;1922;3446367617;5,103170049;0,055768862;0,012592969;0,192695636
Bahamas;BHS;7674;163;105940192;7,243709734;0,153860397;0;0,113271458
Bahrain;BHR;89143;348;572766236;15,56359199;0,060757771;0,004539374;0,162544497
Bangladesh;BGD;490533;7052;44837697575;1,094019155;0,015727837;0,066640353;0
Barbados;BRB;292;7;78069712;0,374024692;0,008966345;0;0
Belarus;BLR;160295;1263;3232723878;4,958511956;0,03906922;0,002629362;0,437463901
Belgium;BEL;608001;17951;4009431650;15,16426898;0,447719317;0;0
Belize;BLZ;9295;195;103833366;8,951843091;0,187800904;0;0
Benin;BEN;3090;44;3221714223;0,095911673;0,001365733;0,075860236;0,084954773
Bermuda;BMU;431;9;16877160;2,553747194;0,053326508;0;0
Bhutan;BTN;438;0;210613944;0,207963439;0;0,023265316;0,348979743
Bolivia;BOL;147150;9018;3189129254;4,614112138;0,282773111;0,05390186;0,454073788
Bonaire, Saint Eustatius and Saba;BES;173;3;6677631;2,590739141;0,044926112;0;0
Bosnia_and_Herzegovina;BIH;101117;3336;914376446;11,05857445;0,364838794;0;0
Botswana;BWA;12501;37;594355374;2,103287115;0,006225232;0,049465356;0
Brazil;BRA;6901952;181402;73867331650;9,343713717;0,245578114;0,002244565;0,175151853
